method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,xnli_mt5::ara,ara,hrl,tur,mrl,deu,hrl,0.6357,0.6976,0.08873279816513754,0.39564147837981095,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.6976,0.0,"swa,tha,rus,vie,zho,tur,urd,hin,deu,ell,bul,fra,spa,eng",10,0.7142857142857143,1.0,0.0,0.697,0.0008600917431193305,"swa,rus,vie,tur,urd,hin,ell,fra,spa,eng"
random,xnli_mt5::bul,bul,mrl,tur,mrl,deu,hrl,0.7084,0.7499,0.05534071209494597,0.4210500897817036,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7499,0.0,"tha,swa,rus,vie,zho,tur,urd,hin,deu,ell,ara,fra,eng,spa",10,0.7142857142857143,1.0,0.0,0.7495,0.0005334044539271316,"tha,rus,vie,tur,urd,hin,ell,fra,eng,spa"
random,xnli_mt5::deu,deu,hrl,zho,hrl,rus,mrl,0.7288,0.7472,0.024625267665952855,0.5722964237594109,0.0,1.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7472,0.0,"tha,swa,rus,tur,vie,zho,urd,ell,ara,bul,fra,hin,eng,spa",10,0.7142857142857143,1.0,1.0,0.7472,0.0,"tha,rus,tur,zho,urd,ell,bul,hin,eng,spa"
random,xnli_mt5::ell,ell,mrl,zho,hrl,deu,hrl,0.7273,0.7502,0.030525193281791565,0.1790656142468982,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7502,0.0,"tha,rus,swa,tur,vie,zho,urd,deu,ara,bul,fra,hin,eng,spa",10,0.7142857142857143,1.0,1.0,0.7502,0.0,"tha,swa,tur,zho,urd,deu,bul,hin,eng,spa"
random,xnli_mt5::eng,eng,hrl,zho,hrl,fra,hrl,0.7775,0.7971,0.02458913561661029,0.5238898698229237,0.0,1.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7971,0.0,"ara,tha,tur,rus,swa,zho,vie,urd,deu,ell,bul,fra,hin,spa",10,0.7142857142857143,1.0,1.0,0.7971,0.0,"ara,tur,rus,zho,vie,urd,ell,fra,hin,spa"
random,xnli_mt5::fra,fra,hrl,vie,mrl,eng,hrl,0.7323,0.7585,0.03454185893210284,0.40653778243028355,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7585,0.0,"tha,tur,rus,swa,zho,vie,urd,deu,ell,ara,bul,hin,eng,spa",10,0.7142857142857143,1.0,1.0,0.7585,0.0,"tha,rus,swa,vie,urd,deu,ara,hin,eng,spa"
random,xnli_mt5::hin,hin,mrl,tur,mrl,deu,hrl,0.6688,0.6918,0.03324660306446953,0.49182777196214555,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.6918,0.0,"swa,tha,rus,vie,zho,tur,urd,deu,bul,ara,spa,fra,ell,eng",10,0.7142857142857143,1.0,1.0,0.6918,0.0,"swa,rus,vie,tur,urd,deu,ara,fra,ell,eng"
random,xnli_mt5::rus,rus,mrl,urd,mrl,deu,hrl,0.4527,0.7361,0.3850020377666078,0.2819053942881183,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7361,0.0,"swa,tha,vie,zho,tur,urd,deu,ell,ara,bul,fra,eng,spa,hin",10,0.7142857142857143,1.0,1.0,0.7361,0.0,"swa,vie,zho,urd,deu,ell,bul,eng,spa,hin"
random,xnli_mt5::spa,spa,hrl,vie,mrl,eng,hrl,0.7401,0.7663,0.03419026490930445,0.39019332635457465,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7663,0.0,"tha,rus,swa,tur,zho,vie,urd,deu,ell,ara,bul,fra,hin,eng",10,0.7142857142857143,1.0,1.0,0.7663,0.0,"tha,swa,tur,vie,urd,deu,ara,fra,hin,eng"
random,xnli_mt5::swa,swa,lrl,urd,mrl,deu,hrl,0.4073,0.6691,0.3912718577193245,0.2807000598544691,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.6691,0.0,"tha,hin,rus,vie,tur,urd,zho,bul,deu,ara,spa,fra,ell,eng",10,0.7142857142857143,1.0,0.0,0.669,0.00014945449110744132,"tha,rus,vie,urd,zho,bul,ara,fra,ell,eng"
random,xnli_mt5::tha,tha,mrl,tur,mrl,zho,hrl,0.655,0.6983,0.06200773306601748,0.24198447553480545,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.6983,0.0,"swa,hin,rus,vie,zho,tur,urd,deu,bul,ara,ell,spa,fra,eng",10,0.7142857142857143,1.0,0.0,0.698,0.0004296147787485006,"swa,rus,vie,tur,urd,deu,ara,spa,fra,eng"
random,xnli_mt5::tur,tur,mrl,urd,mrl,rus,mrl,0.4338,0.7069,0.38633470080633747,0.4464587011835963,0.0,1.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7069,0.0,"swa,tha,rus,vie,zho,urd,hin,deu,ell,ara,bul,fra,spa,eng",10,0.7142857142857143,1.0,1.0,0.7069,0.0,"swa,rus,vie,urd,hin,deu,ara,fra,spa,eng"
random,xnli_mt5::urd,urd,mrl,tur,mrl,hin,mrl,0.6576,0.6799,0.032798941020738326,0.46521382612660367,0.0,1.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.6799,0.0,"swa,tha,hin,rus,vie,tur,bul,deu,ara,spa,fra,ell,eng,zho",10,0.7142857142857143,1.0,1.0,0.6799,0.0,"swa,hin,rus,tur,bul,deu,spa,ell,eng,zho"
random,xnli_mt5::vie,vie,mrl,tur,mrl,deu,hrl,0.6722,0.718,0.06378830083565454,0.2431898099684546,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.718,0.0,"swa,tha,hin,rus,zho,tur,urd,deu,ara,bul,ell,fra,spa,eng",10,0.7142857142857143,1.0,1.0,0.718,0.0,"swa,hin,rus,tur,urd,deu,bul,fra,spa,eng"
random,xnli_mt5::zho,zho,hrl,tur,mrl,deu,hrl,0.6818,0.7135,0.04442887175893491,0.22443468502544733,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7135,0.0,"swa,tha,hin,rus,vie,tur,urd,deu,ara,bul,ell,spa,fra,eng",10,0.7142857142857143,1.0,1.0,0.7135,0.0,"swa,hin,rus,tur,urd,deu,bul,spa,fra,eng"
single_new_gen,xnli_mt5::ara,ara,hrl,eng,hrl,deu,hrl,0.6818,0.6976,0.02264908256880739,0.4077431168639327,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.6976,0.0,"swa,tha,rus,vie,zho,tur,urd,hin,deu,ell,bul,fra,spa,eng",10,0.7142857142857143,1.0,0.0,0.697,0.0008600917431193305,"swa,rus,vie,zho,tur,ell,bul,fra,spa,eng"
single_new_gen,xnli_mt5::bul,bul,mrl,rus,mrl,deu,hrl,0.7495,0.7499,0.0005334044539271316,0.7834241358670873,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7499,0.0,"tha,swa,rus,vie,zho,tur,urd,hin,deu,ell,ara,fra,eng,spa",10,0.7142857142857143,1.0,0.0,0.7495,0.0005334044539271316,"rus,vie,zho,tur,urd,hin,ell,fra,eng,spa"
single_new_gen,xnli_mt5::deu,deu,hrl,eng,hrl,rus,mrl,0.7377,0.7472,0.012714132762312572,0.6751362038006309,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7472,0.0,"tha,swa,rus,tur,vie,zho,urd,ell,ara,bul,fra,hin,eng,spa",10,0.7142857142857143,1.0,1.0,0.7472,0.0,"rus,tur,zho,urd,ell,bul,fra,hin,eng,spa"
single_new_gen,xnli_mt5::ell,ell,mrl,eng,hrl,deu,hrl,0.7395,0.7502,0.014262863236470184,0.6485222579650891,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7502,0.0,"tha,rus,swa,tur,vie,zho,urd,deu,ara,bul,fra,hin,eng,spa",10,0.7142857142857143,1.0,0.0,0.7485,0.0022660623833643347,"rus,tur,vie,zho,urd,bul,fra,hin,eng,spa"
single_new_gen,xnli_mt5::eng,eng,hrl,deu,hrl,fra,hrl,0.7932,0.7971,0.0048927361686112334,0.8275878722119872,0.0,0.0,xnli_mt5,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7971,0.0,"ara,tha,tur,rus,swa,zho,vie,urd,deu,ell,bul,fra,hin,spa",10,0.7142857142857143,1.0,1.0,0.7971,0.0,"tur,rus,zho,urd,deu,ell,bul,fra,hin,spa"
