method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,xnli_mt5::deu,deu,hrl,fra,hrl,rus,mrl,0.7438,0.7472,0.004550321199143414,0.7568101900315454,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7472,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa",9,1.0,1.0,1.0,0.7472,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa"
random,xnli_mt5::eng,eng,hrl,deu,hrl,fra,hrl,0.7932,0.7971,0.0048927361686112334,0.7900776223259727,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7971,0.0,"tha,tur,rus,vie,urd,deu,fra,hin,spa",9,1.0,1.0,1.0,0.7971,0.0,"tha,tur,rus,vie,urd,deu,fra,hin,spa"
random,xnli_mt5::fra,fra,hrl,deu,hrl,eng,hrl,0.7457,0.7585,0.016875411997363116,0.9679379021392218,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7585,0.0,"tha,tur,rus,vie,urd,deu,hin,eng,spa",9,1.0,1.0,1.0,0.7585,0.0,"tha,tur,rus,vie,urd,deu,hin,eng,spa"
random,xnli_mt5::hin,hin,mrl,deu,hrl,deu,hrl,0.6918,0.6918,0.0,0.9612844156803363,1.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.6918,0.0,"tha,rus,vie,tur,urd,deu,spa,fra,eng",9,1.0,1.0,1.0,0.6918,0.0,"tha,rus,vie,tur,urd,deu,spa,fra,eng"
random,xnli_mt5::rus,rus,mrl,fra,hrl,deu,hrl,0.7309,0.7361,0.007064257573699202,0.70599296722776,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7361,0.0,"tha,vie,tur,urd,deu,fra,eng,spa,hin",9,1.0,1.0,1.0,0.7361,0.0,"tha,vie,tur,urd,deu,fra,eng,spa,hin"
random,xnli_mt5::spa,spa,hrl,deu,hrl,eng,hrl,0.7543,0.7663,0.015659663317238694,0.5601947852752891,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7663,0.0,"tha,rus,tur,vie,urd,deu,fra,hin,eng",9,1.0,1.0,1.0,0.7663,0.0,"tha,rus,tur,vie,urd,deu,fra,hin,eng"
random,xnli_mt5::tha,tha,mrl,deu,hrl,deu,hrl,0.698,0.698,0.0,0.9745913885981072,1.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.698,0.0,"hin,rus,vie,tur,urd,deu,spa,fra,eng",9,1.0,1.0,1.0,0.698,0.0,"hin,rus,vie,tur,urd,deu,spa,fra,eng"
random,xnli_mt5::tur,tur,mrl,deu,hrl,rus,mrl,0.7026,0.7069,0.006082897156599195,0.6618292308828599,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7069,0.0,"tha,rus,vie,urd,hin,deu,fra,spa,eng",9,1.0,1.0,1.0,0.7069,0.0,"tha,rus,vie,urd,hin,deu,fra,spa,eng"
random,xnli_mt5::urd,urd,mrl,deu,hrl,hin,mrl,0.6783,0.6799,0.0023532872481246284,0.8408948451297582,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.6799,0.0,"tha,hin,rus,vie,tur,deu,spa,fra,eng",9,1.0,1.0,1.0,0.6799,0.0,"tha,hin,rus,vie,tur,deu,spa,fra,eng"
random,xnli_mt5::vie,vie,mrl,deu,hrl,deu,hrl,0.718,0.718,0.0,0.8663034565316509,1.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.718,0.0,"tha,hin,rus,tur,urd,deu,fra,spa,eng",9,1.0,1.0,1.0,0.718,0.0,"tha,hin,rus,tur,urd,deu,fra,spa,eng"
single_new_gen,xnli_mt5::deu,deu,hrl,eng,hrl,rus,mrl,0.7377,0.7472,0.012714132762312572,0.8529964836138799,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7472,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa",9,1.0,1.0,1.0,0.7472,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa"
single_new_gen,xnli_mt5::eng,eng,hrl,deu,hrl,fra,hrl,0.7932,0.7971,0.0048927361686112334,0.8850585814746581,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7971,0.0,"tha,tur,rus,vie,urd,deu,fra,hin,spa",9,1.0,1.0,1.0,0.7971,0.0,"tha,tur,rus,vie,urd,deu,fra,hin,spa"
single_new_gen,xnli_mt5::fra,fra,hrl,spa,hrl,eng,hrl,0.7399,0.7585,0.02452208305866836,0.8796104294494219,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7585,0.0,"tha,tur,rus,vie,urd,deu,hin,eng,spa",9,1.0,1.0,1.0,0.7585,0.0,"tha,tur,rus,vie,urd,deu,hin,eng,spa"
single_new_gen,xnli_mt5::hin,hin,mrl,urd,mrl,deu,hrl,0.505,0.6918,0.27002023706273487,0.46521382612660367,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.6918,0.0,"tha,rus,vie,tur,urd,deu,spa,fra,eng",9,1.0,1.0,1.0,0.6918,0.0,"tha,rus,vie,tur,urd,deu,spa,fra,eng"
single_new_gen,xnli_mt5::rus,rus,mrl,eng,hrl,deu,hrl,0.7274,0.7361,0.011819046325227456,0.8275878722119872,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7361,0.0,"tha,vie,tur,urd,deu,fra,eng,spa,hin",9,1.0,1.0,1.0,0.7361,0.0,"tha,vie,tur,urd,deu,fra,eng,spa,hin"
single_new_gen,xnli_mt5::spa,spa,hrl,fra,hrl,eng,hrl,0.7583,0.7663,0.010439775544825796,0.9812448750569928,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7663,0.0,"tha,rus,tur,vie,urd,deu,fra,hin,eng",9,1.0,1.0,1.0,0.7663,0.0,"tha,rus,tur,vie,urd,deu,fra,hin,eng"
single_new_gen,xnli_mt5::tha,tha,mrl,eng,hrl,deu,hrl,0.6686,0.698,0.042120343839541524,0.45190685320883267,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.698,0.0,"hin,rus,vie,tur,urd,deu,spa,fra,eng",9,1.0,1.0,1.0,0.698,0.0,"hin,rus,vie,tur,urd,deu,spa,fra,eng"
single_new_gen,xnli_mt5::tur,tur,mrl,eng,hrl,rus,mrl,0.7005,0.7069,0.009053614372612762,0.7701171629493163,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7069,0.0,"tha,rus,vie,urd,hin,deu,fra,spa,eng",9,1.0,1.0,1.0,0.7069,0.0,"tha,rus,vie,urd,hin,deu,fra,spa,eng"
single_new_gen,xnli_mt5::urd,urd,mrl,hin,mrl,hin,mrl,0.6799,0.6799,0.0,0.8396895106961091,1.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.6799,0.0,"tha,hin,rus,vie,tur,deu,spa,fra,eng",9,1.0,1.0,1.0,0.6799,0.0,"tha,hin,rus,vie,tur,deu,spa,fra,eng"
single_new_gen,xnli_mt5::vie,vie,mrl,eng,hrl,deu,hrl,0.7012,0.718,0.0233983286908077,0.5856033966771818,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.718,0.0,"tha,hin,rus,tur,urd,deu,fra,spa,eng",9,1.0,1.0,1.0,0.718,0.0,"tha,hin,rus,tur,urd,deu,fra,spa,eng"
single_new_typ,xnli_mt5::deu,deu,hrl,fra,hrl,rus,mrl,0.7438,0.7472,0.004550321199143414,0.7005448152025235,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7472,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa",9,1.0,1.0,1.0,0.7472,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa"
single_new_typ,xnli_mt5::eng,eng,hrl,deu,hrl,fra,hrl,0.7932,0.7971,0.0048927361686112334,0.9358758042784435,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7971,0.0,"tha,tur,rus,vie,urd,deu,fra,hin,spa",9,1.0,1.0,1.0,0.7971,0.0,"tha,tur,rus,vie,urd,deu,fra,hin,spa"
single_new_typ,xnli_mt5::fra,fra,hrl,deu,hrl,eng,hrl,0.7457,0.7585,0.016875411997363116,0.7326069130633018,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7585,0.0,"tha,tur,rus,vie,urd,deu,hin,eng,spa",9,1.0,1.0,1.0,0.7585,0.0,"tha,tur,rus,vie,urd,deu,hin,eng,spa"
single_new_typ,xnli_mt5::hin,hin,mrl,urd,mrl,deu,hrl,0.505,0.6918,0.27002023706273487,0.6442794403735018,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.6918,0.0,"tha,rus,vie,tur,urd,deu,spa,fra,eng",9,1.0,1.0,1.0,0.6918,0.0,"tha,rus,vie,tur,urd,deu,spa,fra,eng"
single_new_typ,xnli_mt5::rus,rus,mrl,spa,hrl,deu,hrl,0.717,0.7361,0.025947561472626012,0.8542018180475291,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7361,0.0,"tha,vie,tur,urd,deu,fra,eng,spa,hin",9,1.0,1.0,1.0,0.7361,0.0,"tha,vie,tur,urd,deu,fra,eng,spa,hin"
single_new_typ,xnli_mt5::spa,spa,hrl,rus,mrl,eng,hrl,0.7547,0.7663,0.015137674539997316,0.8729569429905364,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7663,0.0,"tha,rus,tur,vie,urd,deu,fra,hin,eng",9,1.0,1.0,1.0,0.7663,0.0,"tha,rus,tur,vie,urd,deu,fra,hin,eng"
single_new_typ,xnli_mt5::tha,tha,mrl,vie,mrl,deu,hrl,0.692,0.698,0.008595988538681957,0.7755653149745527,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.698,0.0,"hin,rus,vie,tur,urd,deu,spa,fra,eng",9,1.0,1.0,1.0,0.698,0.0,"hin,rus,vie,tur,urd,deu,spa,fra,eng"
single_new_typ,xnli_mt5::tur,tur,mrl,spa,hrl,rus,mrl,0.6888,0.7069,0.02560475314754563,0.76466901092408,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7069,0.0,"tha,rus,vie,urd,hin,deu,fra,spa,eng",9,1.0,1.0,1.0,0.7069,0.0,"tha,rus,vie,urd,hin,deu,fra,spa,eng"
single_new_typ,xnli_mt5::urd,urd,mrl,hin,mrl,hin,mrl,0.6799,0.6799,0.0,0.8475483315886436,1.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.6799,0.0,"tha,hin,rus,vie,tur,deu,spa,fra,eng",9,1.0,1.0,1.0,0.6799,0.0,"tha,hin,rus,vie,tur,deu,spa,fra,eng"
single_new_typ,xnli_mt5::vie,vie,mrl,tha,mrl,deu,hrl,0.7124,0.718,0.007799442896935848,0.7755653149745527,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.718,0.0,"tha,hin,rus,tur,urd,deu,fra,spa,eng",9,1.0,1.0,1.0,0.718,0.0,"tha,hin,rus,tur,urd,deu,fra,spa,eng"
single_new_geo,xnli_mt5::deu,deu,hrl,fra,hrl,rus,mrl,0.7438,0.7472,0.004550321199143414,0.8076274128353308,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7472,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa",9,1.0,1.0,1.0,0.7472,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa"
single_new_geo,xnli_mt5::eng,eng,hrl,fra,hrl,fra,hrl,0.7971,0.7971,0.0,1.0,1.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7971,0.0,"tha,tur,rus,vie,urd,deu,fra,hin,spa",9,1.0,1.0,1.0,0.7971,0.0,"tha,tur,rus,vie,urd,deu,fra,hin,spa"
single_new_geo,xnli_mt5::fra,fra,hrl,deu,hrl,eng,hrl,0.7457,0.7585,0.016875411997363116,0.8396895106961091,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7585,0.0,"tha,tur,rus,vie,urd,deu,hin,eng,spa",9,1.0,1.0,1.0,0.7585,0.0,"tha,tur,rus,vie,urd,deu,hin,eng,spa"
single_new_geo,xnli_mt5::hin,hin,mrl,urd,mrl,deu,hrl,0.505,0.6918,0.27002023706273487,0.4718673125854891,0.0,0.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.6918,0.0,"tha,rus,vie,tur,urd,deu,spa,fra,eng",9,1.0,1.0,1.0,0.6918,0.0,"tha,rus,vie,tur,urd,deu,spa,fra,eng"
single_new_geo,xnli_mt5::rus,rus,mrl,tur,mrl,deu,hrl,0.6907,0.7361,0.0616764026626817,0.47066197815184,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7361,0.0,"tha,vie,tur,urd,deu,fra,eng,spa,hin",9,1.0,1.0,1.0,0.7361,0.0,"tha,vie,tur,urd,deu,fra,eng,spa,hin"
single_new_geo,xnli_mt5::spa,spa,hrl,fra,hrl,eng,hrl,0.7583,0.7663,0.010439775544825796,0.9558362636551,0.0,1.0,xnli_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7663,0.0,"tha,rus,tur,vie,urd,deu,fra,hin,eng",9,1.0,1.0,1.0,0.7663,0.0,"tha,rus,tur,vie,urd,deu,fra,hin,eng"
