method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,tydiqa_xlm-r::ben,ben,mrl,fin,mrl,tel,lrl,45.33908569306799,54.54225715287661,0.16873470113297706,0.7447085515474237,0.0,0.0,tydiqa_xlm-r,0.1,0.05,inf,7,7,1.0,1.0,1.0,54.54225715287661,0.0,"rus,ind,kor,tel,swh,fin,eng",7,1.0,1.0,1.0,54.54225715287661,0.0,"rus,ind,kor,tel,swh,fin,eng"
random,tydiqa_xlm-r::eng,eng,hrl,ben,mrl,ind,mrl,40.80353711377212,66.80012928760415,0.38916978830842053,0.5668482717341745,0.0,0.0,tydiqa_xlm-r,0.1,0.05,inf,7,7,1.0,1.0,1.0,66.80012928760415,0.0,"kor,rus,swh,tel,ind,ben,fin",7,1.0,1.0,1.0,66.80012928760415,0.0,"kor,rus,swh,tel,ind,ben,fin"
random,tydiqa_xlm-r::fin,fin,mrl,ind,mrl,ind,mrl,59.73547017799251,59.73547017799251,0.0,0.8342413586708727,1.0,1.0,tydiqa_xlm-r,0.1,0.05,inf,7,7,1.0,1.0,1.0,59.73547017799251,0.0,"kor,rus,tel,swh,ben,ind,eng",7,1.0,1.0,1.0,59.73547017799251,0.0,"kor,rus,tel,swh,ben,ind,eng"
random,tydiqa_xlm-r::ind,ind,mrl,eng,hrl,rus,mrl,69.30074805259686,71.97725336789749,0.03718543275915522,0.8850585814746581,0.0,1.0,tydiqa_xlm-r,0.1,0.05,inf,7,7,1.0,1.0,1.0,71.97725336789749,0.0,"rus,kor,tel,swh,ben,eng,fin",7,1.0,1.0,1.0,71.97725336789749,0.0,"rus,kor,tel,swh,ben,eng,fin"
random,tydiqa_xlm-r::kor,kor,mrl,ind,mrl,tel,lrl,47.35509746106894,58.13356398919501,0.1854086656398602,0.7888722878923236,0.0,0.0,tydiqa_xlm-r,0.1,0.05,inf,7,7,1.0,1.0,1.0,58.13356398919501,0.0,"rus,tel,swh,ben,eng,ind,fin",7,1.0,1.0,1.0,58.13356398919501,0.0,"rus,tel,swh,ben,eng,ind,fin"
random,tydiqa_xlm-r::rus,rus,mrl,eng,hrl,fin,mrl,57.008417689398144,60.34650284593182,0.055315304103967844,0.7326069130633018,0.0,0.0,tydiqa_xlm-r,0.1,0.05,inf,7,7,1.0,1.0,1.0,60.34650284593182,0.0,"kor,ind,tel,swh,ben,eng,fin",7,1.0,1.0,1.0,60.34650284593182,0.0,"kor,ind,tel,swh,ben,eng,fin"
random,tydiqa_xlm-r::swh,swh,lrl,eng,hrl,rus,mrl,51.46092252054956,60.37607416585727,0.1476603401012323,0.7834241358670873,0.0,1.0,tydiqa_xlm-r,0.1,0.05,inf,7,7,1.0,1.0,1.0,60.37607416585727,0.0,"rus,kor,ind,ben,fin,eng,tel",7,1.0,1.0,1.0,60.37607416585727,0.0,"rus,kor,ind,ben,fin,eng,tel"
random,tydiqa_xlm-r::tel,tel,lrl,fin,mrl,fin,mrl,52.47911195244911,52.47911195244911,0.0,0.7634636764904309,1.0,1.0,tydiqa_xlm-r,0.1,0.05,inf,7,7,1.0,1.0,1.0,52.47911195244911,0.0,"kor,rus,swh,ind,ben,fin,eng",7,1.0,1.0,1.0,52.47911195244911,0.0,"kor,rus,swh,ind,ben,fin,eng"
single_new_gen,tydiqa_xlm-r::ben,ben,mrl,eng,hrl,tel,lrl,38.28416421336775,54.54225715287661,0.29808251048245055,0.72050527457918,0.0,0.0,tydiqa_xlm-r,0.1,0.05,inf,7,7,1.0,1.0,1.0,54.54225715287661,0.0,"rus,ind,kor,tel,swh,fin,eng",7,1.0,1.0,1.0,54.54225715287661,0.0,"rus,ind,kor,tel,swh,fin,eng"
single_new_gen,tydiqa_xlm-r::eng,eng,hrl,ben,mrl,ind,mrl,40.80353711377212,66.80012928760415,0.38916978830842053,0.7713224973829655,0.0,0.0,tydiqa_xlm-r,0.1,0.05,inf,7,7,1.0,1.0,1.0,66.80012928760415,0.0,"kor,rus,swh,tel,ind,ben,fin",7,1.0,1.0,1.0,66.80012928760415,0.0,"kor,rus,swh,tel,ind,ben,fin"
