method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,tydiqa_mt5::ben,ben,mrl,fin,mrl,kor,mrl,44.26069260140056,65.33289176279396,0.32253584056711976,0.9050190408513146,0.0,1.0,tydiqa_mt5,0.1,0.05,inf,7,7,1.0,1.0,1.0,65.33289176279396,0.0,"rus,ind,kor,tel,swh,fin,eng",7,1.0,1.0,1.0,65.33289176279396,0.0,"rus,ind,kor,tel,swh,fin,eng"
random,tydiqa_mt5::eng,eng,hrl,ben,mrl,rus,mrl,41.606107445407616,70.39813009828367,0.4089884576860091,0.5989103695949527,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,7,7,1.0,1.0,1.0,70.39813009828367,0.0,"kor,rus,swh,tel,ind,ben,fin",7,1.0,1.0,1.0,70.39813009828367,0.0,"kor,rus,swh,tel,ind,ben,fin"
random,tydiqa_mt5::fin,fin,mrl,ind,mrl,rus,mrl,68.44111023023447,69.45948471263638,0.014661417178878708,0.8275878722119872,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,7,7,1.0,1.0,1.0,69.45948471263638,0.0,"kor,rus,tel,swh,ben,ind,eng",7,1.0,1.0,1.0,69.45948471263638,0.0,"kor,rus,tel,swh,ben,ind,eng"
random,tydiqa_mt5::ind,ind,mrl,eng,hrl,fin,mrl,73.67737290368552,75.24938610375342,0.0208907112929854,0.7955257743512091,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,7,7,1.0,1.0,1.0,75.24938610375342,0.0,"rus,kor,tel,swh,ben,eng,fin",7,1.0,1.0,1.0,75.24938610375342,0.0,"rus,kor,tel,swh,ben,eng,fin"
random,tydiqa_mt5::kor,kor,mrl,ind,mrl,tel,lrl,45.43857730757821,57.17000359325235,0.2052024759197108,0.6497275923987381,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,7,7,1.0,1.0,1.0,57.17000359325235,0.0,"rus,tel,swh,ben,eng,ind,fin",7,1.0,1.0,1.0,57.17000359325235,0.0,"rus,tel,swh,ben,eng,ind,fin"
random,tydiqa_mt5::rus,rus,mrl,eng,hrl,kor,mrl,56.47289095722716,59.72614347411557,0.05446948903202366,0.8529964836138799,0.0,1.0,tydiqa_mt5,0.1,0.05,inf,7,7,1.0,1.0,1.0,59.72614347411557,0.0,"kor,ind,tel,swh,ben,eng,fin",7,1.0,1.0,1.0,59.72614347411557,0.0,"kor,ind,tel,swh,ben,eng,fin"
random,tydiqa_mt5::swh,swh,lrl,eng,hrl,kor,mrl,60.156802796595336,66.14061781576167,0.09047110862850695,0.72050527457918,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,7,7,1.0,1.0,1.0,66.14061781576167,0.0,"rus,kor,ind,ben,fin,eng,tel",7,1.0,1.0,1.0,66.14061781576167,0.0,"rus,kor,ind,ben,fin,eng,tel"
random,tydiqa_mt5::tel,tel,lrl,fin,mrl,kor,mrl,50.04849942839027,60.81901075174618,0.17709119550331837,0.8717516085568873,0.0,1.0,tydiqa_mt5,0.1,0.05,inf,7,7,1.0,1.0,1.0,60.81901075174618,0.0,"kor,rus,swh,ind,ben,fin,eng",7,1.0,1.0,1.0,60.81901075174618,0.0,"kor,rus,swh,ind,ben,fin,eng"
single_new_gen,tydiqa_mt5::ben,ben,mrl,eng,hrl,kor,mrl,34.157454276730924,65.33289176279396,0.4771782886827145,0.6817896902595163,0.0,1.0,tydiqa_mt5,0.1,0.05,inf,7,7,1.0,1.0,1.0,65.33289176279396,0.0,"rus,ind,kor,tel,swh,fin,eng",7,1.0,1.0,1.0,65.33289176279396,0.0,"rus,ind,kor,tel,swh,fin,eng"
single_new_gen,tydiqa_mt5::eng,eng,hrl,ben,mrl,rus,mrl,41.606107445407616,70.39813009828367,0.4089884576860091,0.6509329268323873,0.0,1.0,tydiqa_mt5,0.1,0.05,inf,7,7,1.0,1.0,1.0,70.39813009828367,0.0,"kor,rus,swh,tel,ind,ben,fin",7,1.0,1.0,1.0,70.39813009828367,0.0,"kor,rus,swh,tel,ind,ben,fin"
