method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,tydiqa_mt5::ara,ara,hrl,fin,mrl,ind,mrl,67.23440533945147,73.87213271816962,0.08985428110004377,0.8021792608100945,0.0,1.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,73.87213271816962,0.0,"kor,tel,swh,rus,ben,fin,eng,ind",8,1.0,1.0,1.0,73.87213271816962,0.0,"kor,tel,swh,rus,ben,fin,eng,ind"
random,tydiqa_mt5::ben,ben,mrl,ara,hrl,kor,mrl,37.16143738267632,65.33289176279396,0.4311986446643226,0.6509329268323873,0.0,1.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,65.33289176279396,0.0,"rus,ind,kor,tel,swh,ara,fin,eng",8,1.0,1.0,1.0,65.33289176279396,0.0,"rus,ind,kor,tel,swh,ara,fin,eng"
random,tydiqa_mt5::eng,eng,hrl,ben,mrl,rus,mrl,41.606107445407616,70.39813009828367,0.4089884576860091,0.4906224375284964,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,70.39813009828367,0.0,"kor,rus,swh,tel,ind,ben,ara,fin",8,1.0,1.0,1.0,70.39813009828367,0.0,"kor,rus,swh,tel,ind,ben,ara,fin"
random,tydiqa_mt5::fin,fin,mrl,ara,hrl,rus,mrl,63.71297945346756,69.45948471263638,0.08273175769936846,0.7192999401455309,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,69.45948471263638,0.0,"kor,rus,tel,swh,ben,ara,ind,eng",8,1.0,1.0,1.0,69.45948471263638,0.0,"kor,rus,tel,swh,ben,ara,ind,eng"
random,tydiqa_mt5::ind,ind,mrl,ara,hrl,fin,mrl,70.4541586912944,75.24938610375342,0.06372447219499433,0.7380550650885381,0.0,1.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,75.24938610375342,0.0,"rus,kor,tel,swh,ben,ara,eng,fin",8,1.0,1.0,1.0,75.24938610375342,0.0,"rus,kor,tel,swh,ben,ara,eng,fin"
random,tydiqa_mt5::kor,kor,mrl,eng,hrl,tel,lrl,50.417194842925,57.17000359325235,0.11811803963441368,0.7259534266044163,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,57.17000359325235,0.0,"rus,tel,swh,ben,ara,eng,ind,fin",8,1.0,1.0,1.0,57.17000359325235,0.0,"rus,tel,swh,ben,ara,eng,ind,fin"
random,tydiqa_mt5::rus,rus,mrl,ben,mrl,kor,mrl,38.46097216268369,59.72614347411557,0.3560446075117489,0.6055638560538382,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,59.72614347411557,0.0,"ara,kor,ind,tel,swh,ben,eng,fin",8,1.0,1.0,1.0,59.72614347411557,0.0,"ara,kor,ind,tel,swh,ben,eng,fin"
random,tydiqa_mt5::swh,swh,lrl,fin,mrl,kor,mrl,65.13793150300764,66.14061781576167,0.01515991754941078,0.8729569429905364,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,66.14061781576167,0.0,"rus,kor,ind,ben,ara,fin,eng,tel",8,1.0,1.0,1.0,66.14061781576167,0.0,"rus,kor,ind,ben,ara,fin,eng,tel"
random,tydiqa_mt5::tel,tel,lrl,ara,hrl,kor,mrl,41.24801907508092,60.81901075174618,0.32179069397480053,0.43980521472471096,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,60.81901075174618,0.0,"kor,rus,swh,ind,ben,ara,fin,eng",8,1.0,1.0,1.0,60.81901075174618,0.0,"kor,rus,swh,ind,ben,ara,fin,eng"
single_new_gen,tydiqa_mt5::ara,ara,hrl,tel,lrl,ind,mrl,51.35161288625471,73.87213271816962,0.3048581244815713,0.6188708289716092,0.0,0.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,73.87213271816962,0.0,"kor,tel,swh,rus,ben,fin,eng,ind",8,1.0,1.0,1.0,73.87213271816962,0.0,"kor,tel,swh,rus,ben,fin,eng,ind"
single_new_gen,tydiqa_mt5::ben,ben,mrl,eng,hrl,kor,mrl,34.157454276730924,65.33289176279396,0.4771782886827145,0.6309724674557309,0.0,1.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,65.33289176279396,0.0,"rus,ind,kor,tel,swh,ara,fin,eng",8,1.0,1.0,1.0,65.33289176279396,0.0,"rus,ind,kor,tel,swh,ara,fin,eng"
single_new_gen,tydiqa_mt5::eng,eng,hrl,ben,mrl,rus,mrl,41.606107445407616,70.39813009828367,0.4089884576860091,0.5747070926267092,0.0,1.0,tydiqa_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,70.39813009828367,0.0,"kor,rus,swh,tel,ind,ben,ara,fin",8,1.0,1.0,1.0,70.39813009828367,0.0,"kor,rus,swh,tel,ind,ben,ara,fin"
