dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Always English,raw_oracle_gap_points,-2.653594210379014,-4.512632480888414,-0.5478860015755331,0.014899255037248137,185,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Always English,0.7300634968251587,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-Equal,raw_oracle_gap_points,-0.14298249353055317,-2.7076389200843596,2.430946250325519,0.9079546022698866,185,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Composite-Equal,1.0,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-RRF,raw_oracle_gap_points,0.42948535352788664,-2.0332342666796257,2.9187827251194616,0.7429628518574072,185,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Composite-RRF,1.0,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Genetic,raw_oracle_gap_points,-1.4250594475662008,-3.4952521231581386,0.6458315656742053,0.17429128543572822,185,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Genetic,1.0,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Geographic,raw_oracle_gap_points,0.9025142868424656,-1.3628434821656736,3.2515563965215555,0.44207789610519477,185,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Geographic,1.0,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,LightGBM,raw_oracle_gap_points,-0.24805183333028738,-2.209577546771684,1.7312921803724284,0.7902604869756512,185,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,LightGBM,1.0,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,MLP,raw_oracle_gap_points,0.13187523660000375,-1.7056651197815762,1.8923772265906622,0.8687565621718915,185,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,MLP,1.0,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Script,raw_oracle_gap_points,2.3571981884668602,0.12184412185771151,4.6719820277462984,0.0351982400879956,185,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Script,1.0,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Typological,raw_oracle_gap_points,-1.070029262320449,-3.58382734557837,1.4109757599214214,0.40287985600719967,185,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Typological,1.0,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Wikipedia size,raw_oracle_gap_points,-1.8239666800073628,-4.921363560468109,1.2620374742961076,0.24028798560071996,185,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Wikipedia size,1.0,task-metric points; cross-task averages are secondary descriptive results
